"drug","disease","classification","notes","drug_url","disease_url"
"Timolol","coronary artery disease","NOT","","http://www.drugbank.ca/drugs/DB00373","http://www.disease-ontology.org/term/DOID%3A3393"
"Timolol","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00373","http://www.disease-ontology.org/term/DOID%3A1686"
"Timolol","hypertension","DM","","http://www.drugbank.ca/drugs/DB00373","http://www.disease-ontology.org/term/DOID%3A10763"
"Timolol","migraine","SYM","","http://www.drugbank.ca/drugs/DB00373","http://www.disease-ontology.org/term/DOID%3A6364"
"Tioguanine","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00352","http://www.disease-ontology.org/term/DOID%3A2531"
"Tiotropium","asthma","DM","","http://www.drugbank.ca/drugs/DB01409","http://www.disease-ontology.org/term/DOID%3A2841"
"Tiotropium","chronic obstructive pulmonary disease","DM","","http://www.drugbank.ca/drugs/DB01409","http://www.disease-ontology.org/term/DOID%3A3083"
"Tirofiban","coronary artery disease","DM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB00775","http://www.disease-ontology.org/term/DOID%3A3393"
"Tizanidine","migraine","SYM","","http://www.drugbank.ca/drugs/DB00697","http://www.disease-ontology.org/term/DOID%3A6364"
"Tizanidine","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00697","http://www.disease-ontology.org/term/DOID%3A2377"
"Tizanidine","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB00697","http://www.disease-ontology.org/term/DOID%3A7148"
"Tolazamide","type 2 diabetes mellitus","DM","","http://www.drugbank.ca/drugs/DB00839","http://www.disease-ontology.org/term/DOID%3A9352"
"Tolazoline","atherosclerosis","NOT","","http://www.drugbank.ca/drugs/DB00797","http://www.disease-ontology.org/term/DOID%3A1936"
"Tolazoline","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00797","http://www.disease-ontology.org/term/DOID%3A10763"
"Tolazoline","systemic scleroderma","SYM","","http://www.drugbank.ca/drugs/DB00797","http://www.disease-ontology.org/term/DOID%3A418"
"Tolbutamide","type 2 diabetes mellitus","DM","","http://www.drugbank.ca/drugs/DB01124","http://www.disease-ontology.org/term/DOID%3A9352"
"Tolcapone","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00323","http://www.disease-ontology.org/term/DOID%3A14330"
"Tolmetin","ankylosing spondylitis","SYM","","http://www.drugbank.ca/drugs/DB00500","http://www.disease-ontology.org/term/DOID%3A7147"
"Tolmetin","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00500","http://www.disease-ontology.org/term/DOID%3A8398"
"Tolmetin","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB00500","http://www.disease-ontology.org/term/DOID%3A7148"
"Tolterodine","multiple sclerosis","SYM","urinary incon","http://www.drugbank.ca/drugs/DB01036","http://www.disease-ontology.org/term/DOID%3A2377"
"Topiramate","bipolar disorder","SYM","","http://www.drugbank.ca/drugs/DB00273","http://www.disease-ontology.org/term/DOID%3A3312"
"Topiramate","epilepsy syndrome","SYM","","http://www.drugbank.ca/drugs/DB00273","http://www.disease-ontology.org/term/DOID%3A1826"
"Topiramate","migraine","SYM","","http://www.drugbank.ca/drugs/DB00273","http://www.disease-ontology.org/term/DOID%3A6364"
"Topiramate","obesity","DM","","http://www.drugbank.ca/drugs/DB00273","http://www.disease-ontology.org/term/DOID%3A9970"
"Topotecan","cervical cancer","DM","","http://www.drugbank.ca/drugs/DB01030","http://www.disease-ontology.org/term/DOID%3A4362"
"Topotecan","lung cancer","DM","","http://www.drugbank.ca/drugs/DB01030","http://www.disease-ontology.org/term/DOID%3A1324"
"Topotecan","ovarian cancer","DM","","http://www.drugbank.ca/drugs/DB01030","http://www.disease-ontology.org/term/DOID%3A2394"
"Topotecan","peripheral nervous system neoplasm","DM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB01030","http://www.disease-ontology.org/term/DOID%3A1192"
"Torasemide","chronic kidney failure","SYM","","http://www.drugbank.ca/drugs/DB00214","http://www.disease-ontology.org/term/DOID%3A784"
"Torasemide","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00214","http://www.disease-ontology.org/term/DOID%3A10763"
"Toremifene","breast cancer","DM","","http://www.drugbank.ca/drugs/DB00539","http://www.disease-ontology.org/term/DOID%3A1612"
"Tramadol","restless legs syndrome","SYM","","http://www.drugbank.ca/drugs/DB00193","http://www.disease-ontology.org/term/DOID%3A0050425"
"Trandolapril","coronary artery disease","NOT","","http://www.drugbank.ca/drugs/DB00519","http://www.disease-ontology.org/term/DOID%3A3393"
"Trandolapril","hypertension","DM","","http://www.drugbank.ca/drugs/DB00519","http://www.disease-ontology.org/term/DOID%3A10763"
"Travoprost","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00287","http://www.disease-ontology.org/term/DOID%3A1686"
"Travoprost","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00287","http://www.disease-ontology.org/term/DOID%3A10763"
